14:43 31/5/2023,"1,86"
14:42 31/5/2023,"4,14"
14:42 31/5/2023,"3,72"
14:41 31/5/2023,"2,85"
14:41 31/5/2023,"1,00"
14:41 31/5/2023,"1,18"
14:40 31/5/2023,"3,33"
14:40 31/5/2023,"3,12"
14:39 31/5/2023,"2,00"
14:39 31/5/2023,"2,93"
14:38 31/5/2023,"12,11"
14:38 31/5/2023,"1,97"
14:37 31/5/2023,"1,23"
14:37 31/5/2023,"1,48"
14:37 31/5/2023,"2,89"
14:36 31/5/2023,"1,00"
14:36 31/5/2023,"1,67"
14:36 31/5/2023,"1,29"
14:36 31/5/2023,"1,27"
14:36 31/5/2023,"1,27"
14:35 31/5/2023,"5,17"
14:35 31/5/2023,"1,03"
14:34 31/5/2023,"1,02"
14:34 31/5/2023,"1,49"
14:34 31/5/2023,"1,18"
14:34 31/5/2023,"1,22"
14:32 31/5/2023,"42,39"
14:32 31/5/2023,"7,41"
14:31 31/5/2023,"2,28"
14:31 31/5/2023,"1,92"
14:30 31/5/2023,"13,71"
14:30 31/5/2023,"1,88"
14:29 31/5/2023,"3,03"
14:29 31/5/2023,"1,09"
14:28 31/5/2023,"2,53"
14:28 31/5/2023,"1,04"
14:28 31/5/2023,"2,51"
14:27 31/5/2023,"19,34"
14:26 31/5/2023,"1,89"
14:26 31/5/2023,"4,71"
14:25 31/5/2023,"1,76"
14:25 31/5/2023,"1,34"
14:25 31/5/2023,"1,06"
14:24 31/5/2023,"5,31"
14:24 31/5/2023,"1,91"
14:23 31/5/2023,"23,53"
14:22 31/5/2023,"1,92"
14:22 31/5/2023,"5,15"
14:21 31/5/2023,"12,39"
14:21 31/5/2023,"1,28"
14:20 31/5/2023,"1,03"
14:20 31/5/2023,"5,81"
14:19 31/5/2023,"1,69"
14:19 31/5/2023,"1,40"
14:19 31/5/2023,"1,34"
14:19 31/5/2023,"1,08"
14:18 31/5/2023,"3,02"
14:17 31/5/2023,"6,61"
14:17 31/5/2023,"2,22"
14:17 31/5/2023,"1,74"
14:16 31/5/2023,"4,72"
14:16 31/5/2023,"1,71"
14:14 31/5/2023,"84,47"
14:14 31/5/2023,"1,01"
14:14 31/5/2023,"1,51"
14:13 31/5/2023,"36,09"
14:12 31/5/2023,"11,91"
14:11 31/5/2023,"4,37"
14:11 31/5/2023,"1,61"
14:10 31/5/2023,"1,14"
14:10 31/5/2023,"2,23"
14:10 31/5/2023,"1,93"
14:09 31/5/2023,"1,34"
14:09 31/5/2023,"1,59"
14:08 31/5/2023,"4,11"
14:08 31/5/2023,"6,84"
14:07 31/5/2023,"1,34"
14:07 31/5/2023,"10,45"
14:06 31/5/2023,"23,67"
14:05 31/5/2023,"1,06"
14:05 31/5/2023,"1,81"
14:05 31/5/2023,"1,33"
14:04 31/5/2023,"15,42"
14:03 31/5/2023,"1,31"
14:03 31/5/2023,"2,33"
14:03 31/5/2023,"1,16"
14:02 31/5/2023,"4,34"
14:02 31/5/2023,"5,36"
14:01 31/5/2023,"3,37"
14:00 31/5/2023,"3,29"
14:00 31/5/2023,"4,88"
14:00 31/5/2023,"1,59"
13:59 31/5/2023,"1,38"
13:59 31/5/2023,"1,11"
13:58 31/5/2023,"4,41"
13:58 31/5/2023,"10,16"
13:57 31/5/2023,"3,51"
13:57 31/5/2023,"2,31"
13:56 31/5/2023,"1,18"
13:56 31/5/2023,"1,18"
13:56 31/5/2023,"1,11"
13:56 31/5/2023,"1,90"
13:55 31/5/2023,"2,50"
13:55 31/5/2023,"2,47"
13:54 31/5/2023,"18,58"
13:54 31/5/2023,"1,14"
13:53 31/5/2023,"2,08"
13:53 31/5/2023,"1,81"
13:52 31/5/2023,"19,08"
13:51 31/5/2023,"4,90"
13:51 31/5/2023,"1,20"
13:50 31/5/2023,"2,98"
13:50 31/5/2023,"2,44"
13:50 31/5/2023,"1,27"
13:49 31/5/2023,"1,72"
13:49 31/5/2023,"3,69"
13:48 31/5/2023,"1,85"
13:48 31/5/2023,"1,09"
13:48 31/5/2023,"4,60"
13:47 31/5/2023,"16,51"
13:46 31/5/2023,"1,79"
13:46 31/5/2023,"1,84"
13:46 31/5/2023,"1,35"
13:45 31/5/2023,"3,96"
13:45 31/5/2023,"3,19"
13:44 31/5/2023,"5,20"
13:44 31/5/2023,"1,96"
13:43 31/5/2023,"1,52"
13:43 31/5/2023,"6,07"
13:42 31/5/2023,"3,10"
13:41 31/5/2023,"4,97"
13:41 31/5/2023,"1,31"
13:41 31/5/2023,"2,04"
13:40 31/5/2023,"22,53"
13:39 31/5/2023,"1,89"
13:39 31/5/2023,"2,23"
13:38 31/5/2023,"2,62"
13:38 31/5/2023,"1,61"
13:38 31/5/2023,"2,28"
13:37 31/5/2023,"1,69"
13:36 31/5/2023,"39,24"
13:35 31/5/2023,"9,89"
13:35 31/5/2023,"1,24"
13:35 31/5/2023,"1,42"
13:34 31/5/2023,"1,21"
13:34 31/5/2023,"1,05"
13:33 31/5/2023,"22,61"
13:33 31/5/2023,"1,15"
13:33 31/5/2023,"1,35"
13:32 31/5/2023,"1,03"
13:32 31/5/2023,"3,55"
13:31 31/5/2023,"3,65"
13:31 31/5/2023,"4,69"
13:30 31/5/2023,"2,59"
13:30 31/5/2023,"4,75"
13:29 31/5/2023,"1,83"
13:28 31/5/2023,"299,18"
13:27 31/5/2023,"1,25"
13:27 31/5/2023,"2,36"
13:27 31/5/2023,"1,00"
13:26 31/5/2023,"8,37"
13:25 31/5/2023,"2,02"
13:25 31/5/2023,"1,41"
13:25 31/5/2023,"3,10"
13:24 31/5/2023,"1,53"
13:24 31/5/2023,"1,14"
13:24 31/5/2023,"1,06"
13:24 31/5/2023,"1,30"
13:23 31/5/2023,"3,55"
13:23 31/5/2023,"1,27"
13:23 31/5/2023,"1,51"
13:22 31/5/2023,"1,34"
13:22 31/5/2023,"2,88"
13:21 31/5/2023,"1,56"
13:21 31/5/2023,"1,42"
13:21 31/5/2023,"3,96"
13:20 31/5/2023,"3,78"
13:20 31/5/2023,"1,67"
13:19 31/5/2023,"5,55"
13:19 31/5/2023,"1,31"
13:18 31/5/2023,"5,10"
13:17 31/5/2023,"3,84"
13:17 31/5/2023,"1,01"
13:17 31/5/2023,"1,18"
13:17 31/5/2023,"1,16"
13:16 31/5/2023,"17,55"
13:15 31/5/2023,"2,05"
13:14 31/5/2023,"71,04"
13:14 31/5/2023,"2,28"
13:13 31/5/2023,"1,49"
13:13 31/5/2023,"1,99"
13:12 31/5/2023,"33,35"
